t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.00030399999999999996,2.103101399171067e-08,1.9073384595514068e-10,1.660961304432147e-13,0.000275140049598204,3.665992244994261e-06,3.733178350315252e-09
0.000306,2.158668716476854e-08,1.9818387008199671e-10,1.737074879812065e-13,0.0002805460746699516,3.784595479152265e-06,3.879050164745247e-09
0.000308,2.2153241588747158e-08,2.058741242525244e-10,1.816152713371888e-13,0.0002860213770804379,3.906232950511448e-06,4.029626445521098e-09
0.00031,2.273081622640582e-08,2.1381073401970195e-10,1.898290089530999e-13,0.00029156636476366995,4.030961867029339e-06,4.185027121440659e-09
0.000312,2.3319550855582413e-08,2.2199994004354876e-10,1.983584713744956e-13,0.0002971814448635809,4.158840128443352e-06,4.345374372378046e-09
0.000314,2.3919586067609775e-08,2.3044809947816678e-10,2.0721367577970048e-13,0.0003028670237305241,4.289926329749271e-06,4.510792656307292e-09
0.000316,2.4531063265725035e-08,2.391616873657229e-10,2.1640489056313913e-13,0.0003086235069177825,4.424279764664088e-06,4.681408736458535e-09
0.000318,2.5154124663471982e-08,2.4814729803734136e-10,2.2594263997311176e-13,0.00031445129917809364,4.561960429073114e-06,4.857351708606098e-09
0.00031999999999999997,2.578891328309653e-08,2.5741164652087493e-10,2.3583770880427726e-13,0.00032035080446019,4.703029024461303e-06,5.038753028487787e-09
0.00032199999999999997,2.6435572953935247e-08,2.6696156995552244e-10,2.461011471451058e-13,0.00032632242590535567,4.847546961328719e-06,5.225746539354768e-09
0.00032399999999999996,2.7094248310797045e-08,2.7680402901326145e-10,2.5674427518056086e-13,0.0003323665658439987,4.995576362590059e-06,5.418468499651332e-09
0.000326,2.7765084792338e-08,2.869461093270643e-10,2.6777868805027034e-13,0.00033848362579223795,5.147180066958192e-06,5.617057610823913e-09
0.000328,2.8448228639429368e-08,2.973950229258648e-10,2.7921626076244443e-13,0.00034467400644850894,5.302421632311641e-06,5.821655045258659e-09
0.00033,2.9143826893518847e-08,3.0815810967624394e-10,2.910691531637966e-13,0.0003509381076901822,5.461365339045893e-06,6.032404474346916e-09
0.000332,2.985202739498508e-08,3.19242838730802e-10,3.03349814965723e-13,0.00035727632857019965,5.624076193408562e-06,6.249452096677923e-09
0.000334,3.057297878148544e-08,3.3065680998318454e-10,3.160709908269935e-13,0.0003636890673137275,5.790619930818242e-06,6.472946666358058e-09
0.000336,3.1306830486297155e-08,3.4240775552973043e-10,3.2924572549320785e-13,0.00037017672131482357,5.961063019167047e-06,6.703039521455943e-09
0.000338,3.2053732736651754e-08,3.545035411377076e-10,3.4288736899326704e-13,0.00037673968713312255,6.135472662106744e-06,6.93988461257275e-09
0.00033999999999999997,3.281383655206294e-08,3.6695216772010537e-10,3.5700958189310977e-13,0.00038337836049053686,6.313916802318414e-06,7.183638531536981e-09
0.00034199999999999996,3.3587293742647855e-08,3.7976177281694927e-10,3.716263406069626e-13,0.0003900931362679738,6.49646412476559e-06,7.434460540223076e-09
0.00034399999999999996,3.437425690744177e-08,3.929406320831056e-10,3.867519427663505e-13,0.00039688440850206954,6.6831840599308e-06,7.692512599493143e-09
0.000346,3.517487943270635e-08,4.064971607825423e-10,4.0240101264711366e-13,0.00040375257038193966,6.87414678703543e-06,7.957959398261102e-09
0.000348,3.598931549023131e-08,4.204399152890133e-10,4.1858850665467407e-13,0.0004106980142459456,7.0694232372428765e-06,8.230968382678576e-09
0.00035,3.681772003562973e-08,4.347775945931317e-10,4.353297188677952e-13,0.00041772113157847877,7.2690850968449e-06,8.511709785441795e-09
0.000352,3.766024880662691e-08,4.4951904181579925e-10,4.526402866410758e-13,0.00042482231300676075,7.473204810431125e-06,8.80035665521886e-09
0.000354,3.8517058321342825e-08,4.64673245727958e-10,4.705361962664187e-13,0.0004320019482976606,7.681855584041618e-06,9.097084886196608e-09
0.000356,3.938830587656828e-08,4.802493422766297e-10,4.890337886937112e-13,0.00043926042635452847,7.895111388302487e-06,9.402073247746436e-09
0.000358,4.0274149546034686e-08,4.962566161172098e-10,5.081497653109566e-13,0.0004465981352140469,8.113046961544428e-06,9.715503414208294e-09
0.00035999999999999997,4.11747481786776e-08,5.127045021519814e-10,5.279011937840906e-13,0.00045401546204309876,8.33573781290417e-06,1.0037559994792219e-08
0.00036199999999999996,4.209026139689402e-08,5.296025870748144e-10,5.483055139567181e-13,0.00046151279313565174,8.563260225408758e-06,1.0368430563596642e-08
